ds,yhat,yhat_lower,yhat_upper
2025-01-01,64932.37411453012,-12243.70076897678,137258.14180773267
2025-01-02,63317.53354181158,-13482.69042655521,134416.72137132118
2025-01-03,64082.12501386897,-14350.579954888815,134483.88984980626
2025-01-04,66974.26607249037,-4958.666139926837,130654.5684600027
2025-01-05,54870.64318412727,-16988.522586846084,128595.15455266421
2025-01-06,69895.44689130157,2311.345867904822,143508.43518650165
2025-01-07,67103.21541528244,-2891.0518067966855,138362.29969274596
2025-01-08,68358.07411375149,-1738.8089341630186,136827.63226664512
2025-01-09,69243.10736485408,-5051.156791690301,143323.82197171316
2025-01-10,72294.69826036325,-201.33456644087488,143425.31166829568
2025-01-11,77211.04912472547,7766.950107809091,149532.41538617827
2025-01-12,66825.66354468149,-4839.345830041881,140850.68808017668
2025-01-13,83227.35814313866,8342.476775850528,150964.01195339038
2025-01-14,81443.98024934367,11264.393384592406,152570.12757598606
2025-01-15,83322.2960238556,9774.347781997569,161120.78981238493
2025-01-16,84437.76870590696,13158.019782497897,161420.51426807302
2025-01-17,87329.05186034313,16529.856819314937,157570.34201935737
2025-01-18,91706.40681589121,21148.466268178036,163420.8064188905
2025-01-19,80424.82793879653,5872.957717928339,155474.06877681203
2025-01-20,95603.45364484013,19638.461916891116,164294.33574077667
2025-01-21,92308.45541641148,18995.99004855269,166518.18086087442
2025-01-22,92431.89151915608,22491.249676918163,168905.0806910564
2025-01-23,91600.27264274047,17018.554863180132,162679.92882459974
2025-01-24,92407.69658693248,20859.11123021327,167884.08185287885
2025-01-25,94622.79724798282,21897.07400806999,166243.86085137213
2025-01-26,81160.33046639139,7859.362718597028,150994.49567888104
2025-01-27,94199.01536673479,22221.775109074377,163931.5987425789
2025-01-28,88862.86490429148,15622.110694890785,164198.05160328804
2025-01-29,87098.53337208762,11700.653203265698,160826.72088391983
2025-01-30,84582.46766820064,16772.962762055024,155779.22204667446
2025-01-31,83952.7564793201,7679.086671866264,158447.88049131725
2025-02-01,85014.95614682799,14368.454665376548,155041.41534807236
2025-02-02,70712.7448765002,-4149.603971875906,134563.6374443787
2025-02-03,83245.04784196155,9424.957372488558,157618.55012709287
2025-02-04,77746.88501358505,6857.973831377419,152534.61189835647
2025-02-05,76166.48130970683,5670.088668096827,147828.98455808163
2025-02-06,74172.43114346774,-1659.140808824641,150267.62576967524
2025-02-07,74385.81010545472,5886.100783264542,151027.02414085047
2025-02-08,76586.5045031868,-120.93712879250802,151652.57382675557
2025-02-09,63684.59598457457,-11600.102187335975,133395.22490978017
2025-02-10,77838.42338298328,276.91249445404725,150719.45331572974
2025-02-11,74136.54779513941,3350.8753579241525,146272.89301690672
2025-02-12,74476.12997553345,-2342.0336499595105,146762.1789821491
2025-02-13,74471.47775157724,220.8074466318261,143473.2143359242
2025-02-14,76687.61891502494,5216.089720066475,146031.81404156418
2025-02-15,80848.13112295441,6772.792472397436,158010.31633117484
2025-02-16,69808.0260052483,-1796.4476242594712,140505.03045411222
2025-02-17,85673.26982147463,16994.420444098312,160907.50273244386
2025-02-18,83484.12818702172,12888.405139245637,151875.64776020215
2025-02-19,85094.80778792736,12428.276535921608,155381.4898230822
2025-02-20,86083.1199123316,13457.720900569702,159118.87592875416
2025-02-21,88984.99252676794,15189.411273171858,163490.97812197747
2025-02-22,93503.03860276622,21596.798690276384,164927.4996252785
2025-02-23,82479.95956837981,10099.77516306989,154402.6545636184
2025-02-24,98018.35387340473,27955.535298242867,167274.81280812033
2025-02-25,95164.1120918133,24877.04092773251,169862.26494370273
2025-02-26,95785.87176657324,24252.975985162728,167792.43689668228
2025-02-27,95484.26344256176,18432.525163380215,164954.45041122223
2025-02-28,96825.787340884,25513.19244278893,168048.88174900322
2025-03-01,99550.54682796713,24905.390945548315,170470.6014363583
2025-03-02,86544.64118760182,9830.232018922694,160693.39733861166
2025-03-03,99958.81582614337,25610.110575399165,171582.0109000969
2025-03-04,94890.58319272213,25506.743566910187,169255.85315027682
2025-03-05,93262.32230939908,16346.599372887777,164215.40479719758
2025-03-06,90729.12491755039,18905.968051960186,167753.9891344382
2025-03-07,89911.2651284602,14644.652333889337,165253.0581214419
2025-03-08,90600.55602202317,18460.45540403602,158685.45577402494
2025-03-09,75731.43184509066,2230.7324063204646,144247.8186438652
2025-03-10,87498.38797288817,13546.630936602742,157903.53789560674
2025-03-11,81037.02293871375,7795.488944021135,152442.83772841678
2025-03-12,78301.2176328214,3955.4483379885805,150260.54806551244
2025-03-13,74970.24236773876,5502.135059608921,152629.64790445854
2025-03-14,73680.68630595418,-2160.0295920334556,141588.62838298228
2025-03-15,74232.48479412412,2762.1317026453517,149206.05161538185
2025-03-16,59559.88957865433,-12647.75744584548,134384.84742354258
2025-03-17,71849.01449992068,1151.8134701302133,144346.33505932894
2025-03-18,66219.19557013307,-4216.516977840215,138089.7164637799
2025-03-19,64600.68950603943,-6910.716146737081,135568.8478115856
2025-03-20,62642.48512210096,-8696.435008161126,131861.84190109093
2025-03-21,62945.10102159569,-8938.309931758602,134029.05334014777
2025-03-22,65267.61993606706,-12461.603132333614,140328.29688067475
2025-03-23,52499.77608678377,-18532.628367427893,129168.99115542532
2025-03-24,66780.69697687749,-8990.61742967705,140258.4896938634
2025-03-25,63181.505619865755,-10887.279040498206,138092.29273255702
2025-03-26,63584.27358243392,-3635.8704047471024,131794.7028135715
2025-03-27,63591.065683886656,-11882.003816245227,139045.25985027282
2025-03-28,65757.91727132381,-5045.981340697676,141355.33102133565
2025-03-29,69802.96381412371,279.4743497477944,143199.27030252133
2025-03-30,58579.51130903291,-11250.869241005577,130676.43804198282
2025-03-31,74195.62446688714,2575.2903660923066,149307.29916361618
